pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
255.8,-34.2,90.0,top,R1,,,RC_0603,5.1k,smt
180.0,-31.0,0.0,top,R10,,,RC_0603,330,smt
184.0,-27.5,0.0,top,R11,,,RC_0603,330,smt
58.0,-34.5,0.0,top,R14,,,RC_0603,470,smt
62.0,-34.5,0.0,top,R15,,,RC_0603,10k,smt
258.8,-36.2,90.0,top,R2,,,RC_0603,5.1k,smt
216.0,-35.5,0.0,top,R3,,,RC_0603,2.0k,smt
223.0,-31.0,90.0,top,R4,,,RC_0603,1k,smt
110.5,-29.5,0.0,top,R5,,,RC_0603,100k,smt
142.0,-26.0,0.0,top,R6,,,RC_0603,1M,smt
142.0,-29.0,0.0,top,R7,,,RC_0603,1M,smt
184.0,-24.5,0.0,top,R9,,,RC_0603,1k,smt
50.0,-43.975,180.0,bottom,RGB1,,,SK6812MINI_E,SK6812MINI-E,smt
221.45,-43.975,180.0,bottom,RGB10,,,SK6812MINI_E,SK6812MINI-E,smt
240.5,-43.975,180.0,bottom,RGB11,,,SK6812MINI_E,SK6812MINI-E,smt
259.55,-43.975,180.0,bottom,RGB12,,,SK6812MINI_E,SK6812MINI-E,smt
259.55,-63.025,180.0,bottom,RGB13,,,SK6812MINI_E,SK6812MINI-E,smt
240.5,-63.025,180.0,bottom,RGB14,,,SK6812MINI_E,SK6812MINI-E,smt
221.45,-63.025,180.0,bottom,RGB15,,,SK6812MINI_E,SK6812MINI-E,smt
202.4,-63.025,180.0,bottom,RGB16,,,SK6812MINI_E,SK6812MINI-E,smt
183.35,-63.025,180.0,bottom,RGB17,,,SK6812MINI_E,SK6812MINI-E,smt
164.3,-63.025,180.0,bottom,RGB18,,,SK6812MINI_E,SK6812MINI-E,smt
145.25,-63.025,180.0,bottom,RGB19,,,SK6812MINI_E,SK6812MINI-E,smt
69.05,-43.975,180.0,bottom,RGB2,,,SK6812MINI_E,SK6812MINI-E,smt
126.2,-63.025,180.0,bottom,RGB20,,,SK6812MINI_E,SK6812MINI-E,smt
107.15,-63.025,180.0,bottom,RGB21,,,SK6812MINI_E,SK6812MINI-E,smt
88.1,-63.025,180.0,bottom,RGB22,,,SK6812MINI_E,SK6812MINI-E,smt
69.05,-63.025,180.0,bottom,RGB23,,,SK6812MINI_E,SK6812MINI-E,smt
50.0,-63.025,180.0,bottom,RGB24,,,SK6812MINI_E,SK6812MINI-E,smt
50.0,-82.075,180.0,bottom,RGB25,,,SK6812MINI_E,SK6812MINI-E,smt
69.05,-82.075,180.0,bottom,RGB26,,,SK6812MINI_E,SK6812MINI-E,smt
88.1,-82.075,180.0,bottom,RGB27,,,SK6812MINI_E,SK6812MINI-E,smt
107.15,-82.075,180.0,bottom,RGB28,,,SK6812MINI_E,SK6812MINI-E,smt
126.2,-82.075,180.0,bottom,RGB29,,,SK6812MINI_E,SK6812MINI-E,smt
88.1,-43.975,180.0,bottom,RGB3,,,SK6812MINI_E,SK6812MINI-E,smt
145.25,-82.075,180.0,bottom,RGB30,,,SK6812MINI_E,SK6812MINI-E,smt
164.3,-82.075,180.0,bottom,RGB31,,,SK6812MINI_E,SK6812MINI-E,smt
183.35,-82.075,180.0,bottom,RGB32,,,SK6812MINI_E,SK6812MINI-E,smt
202.4,-82.075,180.0,bottom,RGB33,,,SK6812MINI_E,SK6812MINI-E,smt
221.45,-82.075,180.0,bottom,RGB34,,,SK6812MINI_E,SK6812MINI-E,smt
