Designator,Mid X,Mid Y,Rotation,Layer
RGB17,183.35,-63.025,0.0,bottom
RGB18,164.3,-63.025,0.0,bottom
RGB19,145.25,-63.025,0.0,bottom
RGB2,69.05,-43.975,0.0,bottom
RGB20,126.2,-63.025,0.0,bottom
RGB21,107.15,-63.025,0.0,bottom
RGB22,88.1,-63.025,0.0,bottom
RGB23,69.05,-63.025,0.0,bottom
RGB24,50.0,-63.025,0.0,bottom
RGB25,50.0,-82.075,0.0,bottom
RGB26,69.05,-82.075,0.0,bottom
RGB27,88.1,-82.075,0.0,bottom
RGB28,107.15,-82.075,0.0,bottom
RGB29,126.2,-82.075,0.0,bottom
RGB3,88.1,-43.975,0.0,bottom
RGB30,145.25,-82.075,0.0,bottom
RGB31,164.3,-82.075,0.0,bottom
RGB32,183.35,-82.075,0.0,bottom
RGB33,202.4,-82.075,0.0,bottom
RGB34,221.45,-82.075,0.0,bottom
RGB35,240.5,-82.075,0.0,bottom
RGB36,259.55,-82.075,0.0,bottom
RGB37,259.55,-101.125,0.0,bottom
RGB38,240.5,-101.125,0.0,bottom
RGB39,221.45,-101.125,0.0,bottom
RGB4,107.15,-43.975,0.0,bottom
RGB40,202.4,-101.125,0.0,bottom
RGB41,183.35,-101.125,0.0,bottom
RGB42,164.3,-101.125,0.0,bottom
RGB43,145.25,-101.125,0.0,bottom
RGB44,126.2,-101.125,0.0,bottom
RGB45,107.15,-101.125,0.0,bottom
RGB46,88.1,-101.125,0.0,bottom
RGB47,69.05,-101.125,0.0,bottom
RGB48,50.0,-101.125,0.0,bottom
RGB49,50.0,-120.175,0.0,bottom
RGB5,126.2,-43.975,0.0,bottom
RGB50,69.05,-120.175,0.0,bottom
RGB51,88.1,-120.175,0.0,bottom
RGB52,107.15,-120.175,0.0,bottom
RGB53,126.2,-120.175,0.0,bottom
RGB54,153.775,-119.75,0.0,bottom
RGB55,183.35,-120.175,0.0,bottom
RGB56,202.4,-120.175,0.0,bottom
RGB57,221.45,-120.175,0.0,bottom
RGB58,240.5,-120.175,0.0,bottom
RGB59,259.55,-120.175,0.0,bottom
RGB6,145.25,-43.975,0.0,bottom
RGB7,164.3,-43.975,0.0,bottom
RGB8,183.35,-43.975,0.0,bottom
RGB9,202.4,-43.975,0.0,bottom
SW1,50.0,-50.0,180.0,bottom
SW10,221.45,-50.0,180.0,bottom
SW11,240.5,-50.0,180.0,bottom
SW12,259.55,-50.0,180.0,bottom
SW13,50.0,-69.05,180.0,bottom
SW14,69.05,-69.05,180.0,bottom
SW15,88.1,-69.05,180.0,bottom
SW16,107.15,-69.05,180.0,bottom
SW17,126.2,-69.05,180.0,bottom
SW18,145.25,-69.05,180.0,bottom
SW19,164.3,-69.05,180.0,bottom
SW2,69.05,-50.0,180.0,bottom
SW20,183.35,-69.05,180.0,bottom
SW21,202.4,-69.05,180.0,bottom
SW22,221.45,-69.05,180.0,bottom
SW23,240.5,-69.05,180.0,bottom
SW24,259.55,-69.05,180.0,bottom
SW25,50.0,-88.1,180.0,bottom
SW26,69.05,-88.1,180.0,bottom
SW27,88.1,-88.1,180.0,bottom
SW28,107.15,-88.1,180.0,bottom
SW29,126.2,-88.1,180.0,bottom
SW3,88.1,-50.0,180.0,bottom
SW30,145.25,-88.1,180.0,bottom
SW31,164.3,-88.1,180.0,bottom
SW32,183.35,-88.1,180.0,bottom
SW33,202.4,-88.1,180.0,bottom
SW34,221.45,-88.1,180.0,bottom
SW35,240.5,-88.1,180.0,bottom
SW36,259.55,-88.1,180.0,bottom
SW37,50.0,-107.15,180.0,bottom
SW38,69.05,-107.15,180.0,bottom
SW39,88.1,-107.15,180.0,bottom
SW4,107.15,-50.0,180.0,bottom
SW40,107.15,-107.15,180.0,bottom
SW41,126.2,-107.15,180.0,bottom
SW42,145.25,-107.15,180.0,bottom
SW43,164.3,-107.15,180.0,bottom
SW44,183.35,-107.15,180.0,bottom
SW45,202.4,-107.15,180.0,bottom
SW46,221.45,-107.15,180.0,bottom
SW47,240.5,-107.15,180.0,bottom
